OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,Time
312,1949,1379,-39,975,6,392,10,2023-02-16 06:16:21
331,2082,1473,-26,1086,4,407,10,2023-02-16 06:16:52
317,1973,1396,-34,924,8,391,14,2023-02-16 06:20:47
323,2005,1418,-27,809,7,380,20,2023-02-16 06:22:47
314,1989,1407,-34,685,7,385,13,2023-02-16 06:25:24
325,2064,1460,-30,717,2,392,14,2023-02-16 06:28:43
339,2157,1526,-38,799,1,380,16,2023-02-16 06:29:42
347,2249,1591,-18,531,6,387,8,2023-02-16 06:30:12
327,2084,1474,-29,762,7,389,9,2023-02-16 06:32:43
353,2228,1576,-31,787,8,375,29,2023-02-16 06:33:15
353,2064,1460,-10,909,1,413,19,2023-02-16 06:33:48
362,2327,1646,21,972,2,406,8,2023-02-16 06:39:21
347,2245,1588,-19,591,5,378,10,2023-02-16 06:40:20
333,2180,1542,-6,547,6,361,13,2023-02-16 06:41:43
341,2215,1567,-4,765,3,356,11,2023-02-16 06:42:43
345,2201,1557,5,887,6,382,12,2023-02-16 06:44:53
334,2163,1530,-10,591,1,364,10,2023-02-16 06:46:46
342,2194,1552,4,906,5,364,9,2023-02-16 06:47:48
338,2194,1552,-14,752,7,364,9,2023-02-16 06:53:11
330,2154,1524,1,816,7,355,21,2023-02-16 06:55:19
330,2135,1510,-9,756,7,349,11,2023-02-16 06:56:12
338,2164,1531,2,707,6,353,15,2023-02-16 06:57:12
329,2128,1505,-2,886,4,351,13,2023-02-16 06:59:20
336,2190,1549,1,763,8,352,10,2023-02-16 07:00:18
332,2169,1534,11,784,6,354,10,2023-02-16 07:02:14
349,2171,1536,11,921,8,353,20,2023-02-16 07:04:42
389,2203,1558,28,1027,3,370,16,2023-02-16 07:05:42
317,2000,1415,23,813,10,333,10,2023-02-16 07:10:12
341,2207,1561,9,534,5,337,17,2023-02-16 07:17:20
311,2005,1418,15,682,8,332,8,2023-02-16 07:19:20
315,2051,1451,11,791,10,336,9,2023-02-16 07:22:47
318,2016,1426,13,812,7,330,18,2023-02-16 07:23:17
327,2112,1494,9,799,8,325,16,2023-02-16 07:24:19
311,1948,1378,4,886,10,321,20,2023-02-16 07:26:45
325,2101,1486,22,766,8,329,9,2023-02-16 07:28:49
312,2005,1418,4,834,14,328,10,2023-02-16 07:31:43
311,2006,1419,14,907,8,321,13,2023-02-16 07:32:52
325,2067,1462,18,737,11,323,18,2023-02-16 07:34:17
326,2050,1450,-5,759,14,324,14,2023-02-16 07:37:54
326,2081,1472,40,913,10,319,9,2023-02-16 07:39:19
322,2082,1473,17,802,16,327,11,2023-02-16 07:43:22
339,2146,1518,10,590,16,320,22,2023-02-16 07:44:16
