OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,Time
222,968,685,19,529,-33,105,13,2023-02-16 06:20:47
222,974,689,20,558,-33,106,13,2023-02-16 06:22:47
216,933,660,22,521,-31,104,13,2023-02-16 06:25:24
219,961,680,20,636,-24,107,15,2023-02-16 06:28:43
220,992,702,25,558,-24,108,12,2023-02-16 06:29:42
218,985,697,19,560,-29,108,11,2023-02-16 06:30:12
218,982,695,19,545,-28,108,11,2023-02-16 06:32:43
228,989,700,13,478,-33,105,19,2023-02-16 06:33:15
223,953,674,14,564,-24,105,14,2023-02-16 06:33:48
217,981,694,21,578,-16,106,13,2023-02-16 06:39:21
220,1009,714,21,543,-27,108,11,2023-02-16 06:40:20
214,953,674,17,545,-30,105,15,2023-02-16 06:41:43
216,971,687,19,549,-19,105,16,2023-02-16 06:42:43
213,954,675,16,483,-20,104,13,2023-02-16 06:44:53
219,1026,726,19,502,-27,106,14,2023-02-16 06:46:46
214,961,680,14,566,-25,104,12,2023-02-16 06:47:48
214,986,698,17,578,-28,104,10,2023-02-16 06:53:11
215,947,670,28,555,-28,101,23,2023-02-16 06:55:19
214,982,695,28,562,-27,103,10,2023-02-16 06:56:12
211,962,681,41,560,-30,101,13,2023-02-16 06:57:12
209,945,669,20,549,-28,100,14,2023-02-16 06:59:20
207,951,673,26,583,-31,101,13,2023-02-16 07:00:18
207,945,669,19,504,-23,101,10,2023-02-16 07:02:14
211,933,660,32,540,-29,100,16,2023-02-16 07:04:42
213,920,651,17,557,-26,99,15,2023-02-16 07:05:42
213,978,692,19,485,-32,101,10,2023-02-16 07:10:12
208,957,677,19,576,-19,100,9,2023-02-16 07:17:20
211,982,695,34,538,-25,100,12,2023-02-16 07:19:20
211,964,682,27,550,-26,101,18,2023-02-16 07:22:47
212,988,699,31,667,-23,100,13,2023-02-16 07:23:17
211,970,686,20,613,-23,98,15,2023-02-16 07:24:19
208,936,662,22,550,-26,96,18,2023-02-16 07:26:45
204,916,648,19,531,-22,98,10,2023-02-16 07:28:49
208,930,658,23,508,-34,97,15,2023-02-16 07:31:43
204,923,653,14,560,-31,97,11,2023-02-16 07:32:52
206,944,668,10,461,-28,98,13,2023-02-16 07:34:17
208,950,672,20,505,-31,95,10,2023-02-16 07:37:54
211,964,682,13,497,-29,97,13,2023-02-16 07:39:19
207,955,676,33,477,-35,98,11,2023-02-16 07:43:22
208,944,668,29,512,-28,97,11,2023-02-16 07:44:16
211,968,685,28,527,-29,100,12,2023-02-16 07:44:53
213,970,686,27,611,-29,99,15,2023-02-16 07:45:19
209,957,677,22,566,-24,99,13,2023-02-16 07:48:13
208,967,684,29,543,-28,98,8,2023-02-16 07:51:14
213,975,690,25,526,-21,98,14,2023-02-16 07:52:16
208,927,656,22,550,-28,98,11,2023-02-16 07:53:17
210,981,694,16,454,-24,97,11,2023-02-16 07:56:20
214,995,704,20,475,-27,101,14,2023-02-16 07:58:15
212,979,693,13,497,-25,98,12,2023-02-16 07:58:43
210,940,665,25,575,-24,96,15,2023-02-16 07:59:55
211,945,669,36,594,-20,96,9,2023-02-16 08:00:49
213,960,679,22,503,-20,96,23,2023-02-16 08:06:52
207,948,671,23,535,-23,96,11,2023-02-16 08:07:51
201,896,634,23,588,-21,94,12,2023-02-16 08:10:11
207,961,680,8,504,-24,96,10,2023-02-16 08:13:13
202,927,656,28,518,-26,95,10,2023-02-16 08:14:12
207,945,669,26,557,-24,96,14,2023-02-16 08:14:49
207,913,646,21,463,-30,94,17,2023-02-16 08:17:20
207,902,638,27,626,-20,95,19,2023-02-16 08:23:11
202,906,641,17,515,-26,95,12,2023-02-16 08:24:42
