0,1,2,3,4,5,6,7
"{'bn': '74FE48FFFF6D8845', 'bt': 1675717478}","{'n': 'uplink', 'u': 'count', 'v': 8727}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -67}","{'n': 'snr', 'u': 'dB', 'v': 10.8}","{'n': 'payload_raw', 'vs': '811758500807000100b97300005441e2ff00000700050004000800840201000000020000000c00050004000200000007000000040000000700050004000700bd02f6ff0000020003500b0000536be16360091b000100005b6be163e2'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675717515}","{'n': 'uplink', 'u': 'count', 'v': 8731}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 10}","{'n': 'payload_raw', 'vs': '811b15500807000100b973000060091b00010000806be163bb'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675717634}","{'n': 'uplink', 'u': 'count', 'v': 8743}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -63}","{'n': 'snr', 'u': 'dB', 'v': 8.5}","{'n': 'payload_raw', 'vs': '812715500807000100b973000060091b00010000f76be163eb'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675717745}","{'n': 'uplink', 'u': 'count', 'v': 8754}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -66}","{'n': 'snr', 'u': 'dB', 'v': 10}","{'n': 'payload_raw', 'vs': '813258500807000100b97300005441e2ff000009000500040014009f0200000000020000000c00050004000100e4000000000004000000060005000400faff5a02ffff0000020003590b0000616ce16360091b00010000666ce16300'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675717750}","{'n': 'uplink', 'u': 'count', 'v': 8755}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -66}","{'n': 'snr', 'u': 'dB', 'v': 9.8}","{'n': 'payload_raw', 'vs': '813315500807000100b973000060091b00010000706ce163ae'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675717813}","{'n': 'uplink', 'u': 'count', 'v': 8761}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -62}","{'n': 'snr', 'u': 'dB', 'v': 7}","{'n': 'payload_raw', 'vs': '813915500807000100b973000060091b00010000aa6ce163ff'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675717818}","{'n': 'uplink', 'u': 'count', 'v': 8762}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -64}","{'n': 'snr', 'u': 'dB', 'v': 9.5}","{'n': 'payload_raw', 'vs': '813a15500807000100b973000060091b00010000b46ce1635c'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675717862}","{'n': 'uplink', 'u': 'count', 'v': 8766}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -67}","{'n': 'snr', 'u': 'dB', 'v': 10.8}","{'n': 'payload_raw', 'vs': '813e58500807000100b97300005441e2ff00000500050004001100f7020800000001000000040005000400f4ff17000600000000000000070005000400fbff8002f8ff00000200035d0b0000d96ce16360091b00010000dc6ce16300'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675717868}","{'n': 'uplink', 'u': 'count', 'v': 8767}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -64}","{'n': 'snr', 'u': 'dB', 'v': 9.5}","{'n': 'payload_raw', 'vs': '813f15500807000100b973000060091b00010000e66ce1638c'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675717881}","{'n': 'uplink', 'u': 'count', 'v': 8768}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -66}","{'n': 'snr', 'u': 'dB', 'v': 10.5}","{'n': 'payload_raw', 'vs': '814015500807000100f773000060091b00010000ef6ce163ad'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675717891}","{'n': 'uplink', 'u': 'count', 'v': 8769}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -63}","{'n': 'snr', 'u': 'dB', 'v': 9.8}","{'n': 'payload_raw', 'vs': '814158500807000100b97300005441e2ff00000800050004001100d202feff000003000000070005000400020071000100000002000000080005000400faff5902fcff00000300035e0b0000f76ce16360091b00010000f86ce1631c'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675717916}","{'n': 'uplink', 'u': 'count', 'v': 8772}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 10.5}","{'n': 'payload_raw', 'vs': '814458500807000100b97300005441e2ff000006000500040000007a020000000002000000090005000400faff29010000000002000000050005000400fcff6502040000000100035f0b0000156de16360091b00010000166de163e2'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675717935}","{'n': 'uplink', 'u': 'count', 'v': 8774}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -66}","{'n': 'snr', 'u': 'dB', 'v': 9.2}","{'n': 'payload_raw', 'vs': '814615500807000100b973000060091b00010000296de1639f'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675718025}","{'n': 'uplink', 'u': 'count', 'v': 8783}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -64}","{'n': 'snr', 'u': 'dB', 'v': 8.8}","{'n': 'payload_raw', 'vs': '814f15500807000100b973000060091b00010000836de163fc'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675718094}","{'n': 'uplink', 'u': 'count', 'v': 8790}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 7.5}","{'n': 'payload_raw', 'vs': '815615500807000100b973000060091b00010000c86de163ed'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675718109}","{'n': 'uplink', 'u': 'count', 'v': 8791}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -64}","{'n': 'snr', 'u': 'dB', 'v': 8.8}","{'n': 'payload_raw', 'vs': '815758500807000100b97300005441e2ff00000c0005000400f9ff5602feff000004000000090005000400000074000000000003000000070005000400faff7602fbff0000010003650b0000c96de16360091b00010000d26de163a7'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675718115}","{'n': 'uplink', 'u': 'count', 'v': 8792}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 9.8}","{'n': 'payload_raw', 'vs': '815815500807000100b973000060091b00010000dd6de163c4'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675718199}","{'n': 'uplink', 'u': 'count', 'v': 8800}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -64}","{'n': 'snr', 'u': 'dB', 'v': 9}","{'n': 'payload_raw', 'vs': '816058500807000100b97300005441e2ff0000050005000400020061020000000001000000050005000400fbff18000200000001000000070005000400f8ffaa02fdff0000010003680b0000236ee16360091b000100002c6ee163bb'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675718226}","{'n': 'uplink', 'u': 'count', 'v': 8803}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 10.5}","{'n': 'payload_raw', 'vs': '816315500807000100b973000060091b000100004c6ee16339'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675718265}","{'n': 'uplink', 'u': 'count', 'v': 8807}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -66}","{'n': 'snr', 'u': 'dB', 'v': 10.5}","{'n': 'payload_raw', 'vs': '816715500807000100b973000060091b00010000736ee16342'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675718315}","{'n': 'uplink', 'u': 'count', 'v': 8812}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -63}","{'n': 'snr', 'u': 'dB', 'v': 7.8}","{'n': 'payload_raw', 'vs': '816c15500807000100f773000060091b00010000a56ee1637c'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675718329}","{'n': 'uplink', 'u': 'count', 'v': 8813}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 9}","{'n': 'payload_raw', 'vs': '816d15500807000100b973000060091b00010000af6ee16367'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675718349}","{'n': 'uplink', 'u': 'count', 'v': 8815}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -63}","{'n': 'snr', 'u': 'dB', 'v': 9.8}","{'n': 'payload_raw', 'vs': '816f58500807000100f77300005441e2ff0000060005000400f9ff7702f9ff00000200000008000500040002000000040000000200000006000500040005009502feff00000100036d0b0000b96ee16360091b00010000c26ee163dc'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675718416}","{'n': 'uplink', 'u': 'count', 'v': 8822}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 9.8}","{'n': 'payload_raw', 'vs': '817615500807000100b973000060091b000100000a6fe163bd'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675718431}","{'n': 'uplink', 'u': 'count', 'v': 8823}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 9.8}","{'n': 'payload_raw', 'vs': '817758500807000100b97300005441e2ff0000060005000400000099020300000001000000040005000400fcff2e00010000000100000006000500040008008202fdff0000010003700b0000136fe16360091b00010000146fe16382'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675718538}","{'n': 'uplink', 'u': 'count', 'v': 8834}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 9.8}","{'n': 'payload_raw', 'vs': '818215500807000100f773000060091b000100007f6fe16346'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675718558}","{'n': 'uplink', 'u': 'count', 'v': 8836}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -66}","{'n': 'snr', 'u': 'dB', 'v': 9.2}","{'n': 'payload_raw', 'vs': '818458500807000100f77300005441e2ff00000500050004000d001603feff000001000000050005000400ffffef0005000000010000000600050004000a008e0200000000010003740b00008b6fe16360091b00010000936fe163e9'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675718656}","{'n': 'uplink', 'u': 'count', 'v': 8846}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -63}","{'n': 'snr', 'u': 'dB', 'v': 9.2}","{'n': 'payload_raw', 'vs': '818e15500807000100f773000060091b00010000f66fe163d1'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675718676}","{'n': 'uplink', 'u': 'count', 'v': 8848}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -64}","{'n': 'snr', 'u': 'dB', 'v': 8.8}","{'n': 'payload_raw', 'vs': '819058500807000100f77300005441e2ff000006000400030014004903f9ff000001000000060005000400fbffa6000500000002000000050005000400f8ff980203000000010003780b00000370e16360091b000100000970e16379'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675718685}","{'n': 'uplink', 'u': 'count', 'v': 8849}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -64}","{'n': 'snr', 'u': 'dB', 'v': 8}","{'n': 'payload_raw', 'vs': '819115500807000100f773000060091b000100001370e1631e'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675718690}","{'n': 'uplink', 'u': 'count', 'v': 8850}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 10.5}","{'n': 'payload_raw', 'vs': '819215500807000100f773000060091b000100001c70e163cc'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675718714}","{'n': 'uplink', 'u': 'count', 'v': 8852}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 10}","{'n': 'payload_raw', 'vs': '819415500807000100f773000060091b000100002f70e1635f'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675718822}","{'n': 'uplink', 'u': 'count', 'v': 8863}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 9.5}","{'n': 'payload_raw', 'vs': '819f58500807000100f77300005441e2ff00000700050004000b00d002feff0000020000001b0005000400f8ff3f00feff00000a000000080005000400feff8f02f6ff00000200037d0b00009970e16360091b000100009b70e16364'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675718874}","{'n': 'uplink', 'u': 'count', 'v': 8869}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -66}","{'n': 'snr', 'u': 'dB', 'v': 10.2}","{'n': 'payload_raw', 'vs': '81a515500807000100f773000060091b00010000d470e163d6'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675718919}","{'n': 'uplink', 'u': 'count', 'v': 8873}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 9.5}","{'n': 'payload_raw', 'vs': '81a958500807000100f77300005441e2ff000005000500040002005702fbff000001000000050005000400efff60000300000001000000050005000400fdff910200000000010003800b0000f370e16360091b00010000fc70e163cb'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675718943}","{'n': 'uplink', 'u': 'count', 'v': 8876}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -64}","{'n': 'snr', 'u': 'dB', 'v': 9}","{'n': 'payload_raw', 'vs': '81ac58500807000100f77300005441e2ff00000500050004001e00ed02040000000100000006000500040000001600f6ff000001000000070005000400ffff7102f6ff0000020003810b00001171e16360091b000100001971e163ff'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675719020}","{'n': 'uplink', 'u': 'count', 'v': 8884}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -64}","{'n': 'snr', 'u': 'dB', 'v': 7.8}","{'n': 'payload_raw', 'vs': '81b415500807000100f773000060091b000100006671e16309'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675719072}","{'n': 'uplink', 'u': 'count', 'v': 8889}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -64}","{'n': 'snr', 'u': 'dB', 'v': 8.8}","{'n': 'payload_raw', 'vs': '81b915500807000100f773000060091b000100009571e16330'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675719086}","{'n': 'uplink', 'u': 'count', 'v': 8891}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -66}","{'n': 'snr', 'u': 'dB', 'v': 10.5}","{'n': 'payload_raw', 'vs': '81bb58500807000100f77300005441e2ff000006000500040000009002020000000100000007000500040007005201020000000200000008000500040006006b0200000000020003860b0000a771e16360091b00010000a871e16357'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675719140}","{'n': 'uplink', 'u': 'count', 'v': 8896}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 9.8}","{'n': 'payload_raw', 'vs': '81c015500807000100f773000060091b00010000d971e16343'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675719207}","{'n': 'uplink', 'u': 'count', 'v': 8903}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -63}","{'n': 'snr', 'u': 'dB', 'v': 9}","{'n': 'payload_raw', 'vs': '81c715500807000100f773000060091b000100001c72e1631a'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675719212}","{'n': 'uplink', 'u': 'count', 'v': 8904}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 9.5}","{'n': 'payload_raw', 'vs': '81c858500807000100f77300005441e2ff000007000500040015007602000000000200000006000500040001002e00010000000100000006000500040000004e02fbff00000200038a0b00001f72e16360091b000100002672e163ce'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675719261}","{'n': 'uplink', 'u': 'count', 'v': 8909}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -66}","{'n': 'snr', 'u': 'dB', 'v': 9}","{'n': 'payload_raw', 'vs': '81cd15500807000100f773000060091b000100005772e1630b'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675719294}","{'n': 'uplink', 'u': 'count', 'v': 8912}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -66}","{'n': 'snr', 'u': 'dB', 'v': 11.5}","{'n': 'payload_raw', 'vs': '81d015500807000100f773000060091b000100007372e1639d'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675719319}","{'n': 'uplink', 'u': 'count', 'v': 8915}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 7.2}","{'n': 'payload_raw', 'vs': '81d315500807000100f773000060091b000100009172e163d5'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675719413}","{'n': 'uplink', 'u': 'count', 'v': 8924}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -62}","{'n': 'snr', 'u': 'dB', 'v': 9.8}","{'n': 'payload_raw', 'vs': '81dc15500807000100f773000060091b00010000ea72e1636d'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675719442}","{'n': 'uplink', 'u': 'count', 'v': 8927}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -66}","{'n': 'snr', 'u': 'dB', 'v': 10.2}","{'n': 'payload_raw', 'vs': '81df15500807000100f773000060091b000100000873e1634e'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675719483}","{'n': 'uplink', 'u': 'count', 'v': 8931}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -64}","{'n': 'snr', 'u': 'dB', 'v': 11.5}","{'n': 'payload_raw', 'vs': '81e358500807000100f77300005441e2ff00000600050004001300c2020200000001000000050005000400f9ff1600faff000001000000070005000400f3ff6802feff0000010003930b00002d73e16360091b000100003073e163e6'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675719583}","{'n': 'uplink', 'u': 'count', 'v': 8941}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 9.8}","{'n': 'payload_raw', 'vs': '81ed15500807000100b973000060091b000100009473e16377'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675719633}","{'n': 'uplink', 'u': 'count', 'v': 8946}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 10}","{'n': 'payload_raw', 'vs': '81f258500807000100f77300005441e2ff00000500050004000b00e2020900000001000000040005000400f9ff18000100000001000000060005000400fdff6b0200000000010003980b0000c373e16360091b00010000c673e163de'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675719638}","{'n': 'uplink', 'u': 'count', 'v': 8947}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -63}","{'n': 'snr', 'u': 'dB', 'v': 8.8}","{'n': 'payload_raw', 'vs': '81f315500807000100f773000060091b00010000d073e16333'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675719677}","{'n': 'uplink', 'u': 'count', 'v': 8951}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -66}","{'n': 'snr', 'u': 'dB', 'v': 9.8}","{'n': 'payload_raw', 'vs': '81f715500807000100b973000060091b00010000f773e16318'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675719701}","{'n': 'uplink', 'u': 'count', 'v': 8953}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -66}","{'n': 'snr', 'u': 'dB', 'v': 10}","{'n': 'payload_raw', 'vs': '81f915500807000100b973000060091b000100000b74e163e5'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675719716}","{'n': 'uplink', 'u': 'count', 'v': 8955}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -63}","{'n': 'snr', 'u': 'dB', 'v': 9.5}","{'n': 'payload_raw', 'vs': '81fb58500807000100b97300005441e2ff000007000500040008004b0202000000020000000600050004000e004600020000000200000005000500040000008102fcff00000100039b0b00001d74e16360091b000100001e74e1631c'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
